"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2021","11.340","12.010","12.225","11.335","3.15M","-4.91%"
"11/02/2021","11.925","12.180","12.180","11.710","1.66M","-2.61%"
"11/01/2021","12.245","12.160","12.345","12.150","883.38K","1.74%"
"10/29/2021","12.035","11.980","12.095","11.925","1.38M","0.33%"
"10/28/2021","11.995","11.975","12.015","11.905","1.53M","0.00%"
"10/27/2021","11.995","12.030","12.125","11.905","929.16K","-0.37%"
"10/26/2021","12.040","11.875","12.080","11.815","964.49K","1.99%"
"10/25/2021","11.805","11.725","11.825","11.650","723.90K","1.86%"
"10/22/2021","11.590","11.545","11.705","11.510","1.76M","0.87%"
"10/21/2021","11.490","11.655","11.680","11.400","3.98M","-2.25%"
"10/20/2021","11.755","11.875","11.875","11.570","1.06M","-1.51%"
"10/19/2021","11.935","12.220","12.350","11.885","1.11M","-1.93%"
"10/18/2021","12.170","12.145","12.230","12.025","1.07M","0.21%"
"10/15/2021","12.145","12.000","12.290","11.980","1.16M","1.93%"
"10/14/2021","11.915","11.990","12.060","11.860","1.00M","0.34%"
"10/13/2021","11.875","11.860","12.010","11.795","1.16M","0.34%"
"10/12/2021","11.835","11.500","11.840","11.400","3.68M","2.29%"
"10/11/2021","11.570","11.320","11.675","11.260","1.37M","3.03%"
"10/08/2021","11.230","11.200","11.425","11.200","2.85M","-0.04%"
"10/07/2021","11.235","11.010","11.330","10.935","1.47M","1.86%"
"10/06/2021","11.030","11.165","11.200","10.940","957.75K","-2.09%"
"10/05/2021","11.265","10.895","11.265","10.870","898.65K","3.40%"
"10/04/2021","10.895","11.000","11.035","10.690","1.76M","-1.04%"
"10/01/2021","11.010","10.700","11.170","10.610","24.16M","-0.72%"
"09/30/2021","11.090","11.315","11.385","11.050","812.14K","-1.11%"
"09/29/2021","11.215","10.810","11.305","10.740","1.33M","4.67%"
"09/28/2021","10.715","11.000","11.130","10.715","873.81K","-3.12%"
"09/27/2021","11.060","11.170","11.180","10.870","967.40K","-0.45%"
"09/24/2021","11.110","11.070","11.190","11.040","448.54K","-0.54%"
"09/23/2021","11.170","11.215","11.280","11.010","941.36K","0.00%"
"09/22/2021","11.170","11.080","11.205","10.940","1.09M","2.29%"
"09/21/2021","10.920","11.150","11.285","10.885","921.95K","-2.11%"
"09/20/2021","11.155","11.420","11.420","11.015","1.05M","-4.08%"
"09/17/2021","11.630","11.545","11.840","11.490","2.09M","0.91%"
"09/16/2021","11.525","11.470","11.730","11.450","857.03K","0.39%"
"09/15/2021","11.480","11.185","11.490","11.170","815.63K","2.64%"
"09/14/2021","11.185","11.325","11.395","11.175","998.01K","-1.50%"
"09/13/2021","11.355","11.450","11.490","11.270","636.61K","-0.26%"
"09/10/2021","11.385","11.310","11.480","11.310","574.11K","0.71%"
"09/09/2021","11.305","11.380","11.380","11.225","512.43K","-0.92%"
"09/08/2021","11.410","11.580","11.670","11.400","598.33K","-1.21%"
"09/07/2021","11.550","11.405","11.600","11.315","617.59K","1.58%"
"09/06/2021","11.370","11.495","11.500","11.300","365.34K","-0.44%"
"09/03/2021","11.420","11.515","11.540","11.390","683.08K","-0.48%"
"09/02/2021","11.475","11.555","11.575","11.395","543.46K","-0.35%"
"09/01/2021","11.515","11.650","11.650","11.360","841.70K","-0.04%"
"08/31/2021","11.520","11.555","11.720","11.450","935.24K","0.35%"
"08/30/2021","11.480","11.625","11.725","11.480","397.02K","-0.99%"
"08/27/2021","11.595","11.405","11.600","11.395","511.34K","1.62%"
"08/26/2021","11.410","11.350","11.470","11.250","4.59M","-0.48%"
"08/25/2021","11.465","11.345","11.465","11.275","510.92K","1.78%"
"08/24/2021","11.265","11.260","11.345","11.200","637.54K","0.40%"
"08/23/2021","11.220","11.355","11.355","11.160","706.78K","0.49%"
"08/20/2021","11.165","11.260","11.315","11.080","484.77K","-0.67%"
"08/19/2021","11.240","11.450","11.545","11.140","919.68K","-3.35%"
"08/18/2021","11.630","11.500","11.640","11.480","691.17K","0.78%"
"08/17/2021","11.540","11.500","11.695","11.450","421.24K","-0.30%"
"08/16/2021","11.575","11.750","11.765","11.505","525.77K","-1.82%"
"08/13/2021","11.790","11.550","11.800","11.550","1.04M","2.34%"
"08/12/2021","11.520","11.475","11.555","11.400","485.09K","0.70%"
"08/11/2021","11.440","11.325","11.450","11.245","532.87K","1.10%"
"08/10/2021","11.315","11.375","11.375","11.195","389.86K","0.31%"
"08/09/2021","11.280","11.230","11.320","11.150","380.83K","0.58%"
"08/06/2021","11.215","11.090","11.335","11.065","471.43K","1.31%"
"08/05/2021","11.070","11.050","11.105","10.965","609.86K","0.05%"
"08/04/2021","11.065","11.235","11.240","11.050","423.43K","-0.63%"
"08/03/2021","11.135","11.200","11.200","10.960","647.70K","0.41%"
"08/02/2021","11.090","11.510","11.510","11.075","1.03M","-1.47%"
"07/30/2021","11.255","11.450","11.480","11.120","989.11K","-2.89%"
"07/29/2021","11.590","11.390","11.675","11.325","1.88M","3.53%"
"07/28/2021","11.195","11.240","11.280","11.070","639.82K","-0.44%"
"07/27/2021","11.245","11.260","11.325","11.115","1.20M","-0.35%"
"07/26/2021","11.285","10.840","11.295","10.820","1.25M","4.20%"
"07/23/2021","10.830","10.640","10.840","10.595","814.99K","2.36%"
"07/22/2021","10.580","10.660","10.745","10.580","652.85K","-0.38%"
"07/21/2021","10.620","10.390","10.655","10.335","2.46M","3.16%"
"07/20/2021","10.295","10.225","10.395","10.160","761.06K","1.68%"
"07/19/2021","10.125","10.210","10.400","9.986","1.11M","-2.08%"
"07/16/2021","10.340","10.500","10.550","10.250","750.55K","-0.86%"
"07/15/2021","10.430","10.510","10.510","10.280","632.85K","-0.10%"
"07/14/2021","10.440","10.300","10.570","10.230","972.20K","1.51%"
"07/13/2021","10.285","10.490","10.510","10.250","801.79K","-1.39%"
"07/12/2021","10.430","10.510","10.520","10.130","2.32M","-1.79%"
"07/09/2021","10.620","10.300","10.640","10.225","796.53K","3.76%"
"07/08/2021","10.235","10.390","10.390","10.095","950.78K","-1.35%"
"07/07/2021","10.375","10.255","10.395","10.155","831.43K","1.72%"
"07/06/2021","10.200","10.515","10.595","10.150","1.19M","-3.41%"
"07/05/2021","10.560","10.460","10.595","10.435","601.43K","1.29%"
"07/02/2021","10.425","10.350","10.495","10.320","883.30K","1.02%"
"07/01/2021","10.320","10.220","10.480","10.200","1.05M","1.33%"
"06/30/2021","10.185","10.245","10.300","10.000","1.20M","-0.20%"
"06/29/2021","10.205","9.974","10.215","9.938","1.25M","2.52%"
"06/28/2021","9.954","9.990","10.150","9.880","1.52M","-0.08%"
"06/25/2021","9.962","9.980","10.030","9.910","1.17M","0.67%"
"06/24/2021","9.896","9.950","9.960","9.750","1.35M","0.20%"
"06/23/2021","9.876","9.750","9.924","9.714","4.19M","1.73%"
"06/22/2021","9.708","9.766","9.778","9.504","2.47M","0.21%"
"06/21/2021","9.688","9.820","9.890","9.550","4.86M","-0.47%"
"06/18/2021","9.734","10.200","10.250","9.718","29.45M","-10.04%"
"06/17/2021","10.820","11.070","11.070","10.820","897.77K","-2.87%"
"06/16/2021","11.140","11.400","11.445","11.075","747.51K","-1.85%"
"06/15/2021","11.350","11.645","11.645","11.350","1.29M","-2.74%"
"06/14/2021","11.670","11.725","11.850","11.670","567.98K","-0.26%"
"06/11/2021","11.700","11.485","11.785","11.470","1.26M","2.09%"
"06/10/2021","11.460","11.460","11.605","11.425","553.44K","0.00%"
"06/09/2021","11.460","11.660","11.670","11.370","2.76M","-1.67%"
"06/08/2021","11.655","11.515","11.680","11.480","2.99M","1.26%"
"06/07/2021","11.510","11.500","11.630","11.455","2.42M","0.17%"
"06/04/2021","11.490","11.425","11.585","11.425","719.25K","-0.26%"
"06/03/2021","11.520","11.505","11.535","11.415","608.58K","-0.04%"
"06/02/2021","11.525","11.540","11.575","11.455","547.61K","0.22%"
"06/01/2021","11.500","11.320","11.545","10.780","865.58K","-2.00%"
"05/31/2021","11.735","11.820","11.835","11.705","875.66K","0.34%"
"05/28/2021","11.695","11.845","11.845","11.625","785.54K","-0.47%"
"05/27/2021","11.750","11.665","11.820","11.605","3.25M","0.73%"
"05/26/2021","11.665","11.680","11.715","11.575","2.78M","0.34%"
"05/25/2021","11.625","11.830","11.830","11.625","2.52M","-0.68%"
"05/24/2021","11.705","11.770","11.785","11.635","3.85M","0.21%"
"05/21/2021","11.680","11.700","11.765","11.630","596.16K","-0.43%"
"05/20/2021","11.730","11.835","11.850","11.625","582.29K","-0.38%"
"05/19/2021","11.775","11.760","11.900","11.610","1.17M","-0.84%"
"05/18/2021","11.875","12.100","12.185","11.825","697.24K","-0.63%"
"05/17/2021","11.950","11.870","11.985","11.765","1.22M","0.76%"
"05/14/2021","11.860","12.025","12.025","11.770","818.28K","0.04%"
"05/13/2021","11.855","11.800","11.990","11.575","785.34K","-0.71%"
"05/12/2021","11.940","11.900","12.075","11.770","690.52K","-0.67%"
"05/11/2021","12.020","12.180","12.180","11.680","1.22M","-1.84%"
"05/10/2021","12.245","12.250","12.430","12.210","777.60K","0.41%"
"05/07/2021","12.195","12.195","12.240","12.040","547.90K","0.74%"
"05/06/2021","12.105","11.935","12.135","11.880","896.60K","1.47%"
"05/05/2021","11.930","11.725","11.930","11.685","458.73K","3.07%"
"05/04/2021","11.575","11.745","11.825","11.480","700.73K","-1.32%"
"05/03/2021","11.730","11.580","11.730","11.530","378.72K","1.60%"
"04/30/2021","11.545","11.615","11.765","11.535","412.57K","-1.20%"
"04/29/2021","11.685","11.730","11.935","11.625","598.11K","0.00%"
"04/28/2021","11.685","11.775","11.855","11.600","633.19K","-1.10%"
"04/27/2021","11.815","11.920","11.920","11.770","356.05K","-0.88%"
"04/26/2021","11.920","11.805","11.920","11.760","849.70K","1.02%"
"04/23/2021","11.800","11.690","11.870","11.640","527.60K","0.90%"
"04/22/2021","11.695","11.680","11.755","11.580","526.28K","1.08%"
"04/21/2021","11.570","11.545","11.755","11.425","578.90K","0.56%"
"04/20/2021","11.505","11.705","11.765","11.475","593.73K","-1.24%"
"04/19/2021","11.650","11.840","11.890","11.635","579.17K","-0.98%"
"04/16/2021","11.765","11.710","11.775","11.625","859.59K","1.42%"
"04/15/2021","11.600","11.810","11.880","11.570","703.01K","-1.99%"
"04/14/2021","11.835","11.665","11.835","11.570","682.01K","1.59%"
"04/13/2021","11.650","11.460","11.715","11.395","1.15M","2.69%"
"04/12/2021","11.345","11.440","11.470","11.255","866.72K","-0.66%"
"04/09/2021","11.420","11.300","11.480","11.235","724.53K","1.15%"
"04/08/2021","11.290","11.280","11.320","11.175","487.34K","0.49%"
"04/07/2021","11.235","11.160","11.280","11.100","435.27K","1.22%"
"04/06/2021","11.100","11.200","11.295","11.100","650.39K","0.59%"
"04/01/2021","11.035","11.160","11.220","10.960","745.03K","-0.81%"
"03/31/2021","11.125","11.030","11.215","11.000","753.89K","0.68%"
"03/30/2021","11.050","10.810","11.055","10.780","671.05K","2.60%"
"03/29/2021","10.770","10.775","10.845","10.665","494.20K","-0.28%"
"03/26/2021","10.800","10.500","10.800","10.465","782.05K","3.65%"
"03/25/2021","10.420","10.440","10.585","10.185","756.70K","-0.86%"
"03/24/2021","10.510","10.150","10.515","10.115","844.51K","3.09%"
"03/23/2021","10.195","10.385","10.385","10.155","828.52K","-2.02%"
"03/22/2021","10.405","10.390","10.405","10.275","518.07K","-0.24%"
"03/19/2021","10.430","10.355","10.495","10.290","1.04M","-0.48%"
"03/18/2021","10.480","10.325","10.505","10.295","853.27K","2.44%"
